PeakID (cmd=annotatePeaks.pl /sonas-hs/ware/hpc_norepl/data/foli/maizeCode/RA1_q40_F6L2LP_common.bed zm_v4 -ann /sonas-hs/ware/hpc/home/foli/software/homer/data/genomes/zm_v4/zm_v4.basic.annotation)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
9-229	9	144032132	144032331	+	15.5	NA	TTS (transcript:Zm00001d047876_T001)	NA	8281	transcript:Zm00001d047876_T002								
9-204	9	108022199	108022398	+	15.5	NA	NA	NA	21543	transcript:Zm00001d046836_T003								
10-83	10	5441275	5441474	+	15.5	NA	"exon (transcript:Zm00001d023434_T001, exon 3 of 4)"	NA	2696	transcript:Zm00001d023434_T002								
5-213	5	38237696	38237895	+	15.5	NA	NA	NA	41586	transcript:Zm00001d014253_T001								
4-270	4	245974458	245974657	+	15.5	NA	promoter-TSS (transcript:Zm00001d054078_T001)	NA	-556	transcript:Zm00001d054078_T001								
7-192	7	88701482	88701681	+	15.5	NA	"exon (transcript:Zm00001d020051_T001, exon 2 of 5)"	NA	449	transcript:Zm00001d020051_T001								
4-259	4	107747732	107747931	+	15.5	NA	NA	NA	48162	transcript:Zm00001d026869_T001								
8-152	8	120759162	120759361	+	15.5	NA	NA	NA	-5258	transcript:Zm00001d010576_T002								
4-250	4	237132666	237132865	+	15.5	NA	NA	NA	-11918	transcript:Zm00001d027022_T001								
1-302	1	228405877	228406076	+	15.5	NA	TTS (transcript:Zm00001d032495_T001)	NA	1222	transcript:Zm00001d032495_T001								
8-160	8	168209164	168209363	+	15.5	NA	NA	NA	-6349	transcript:Zm00001d012096_T001								
2-245	2	94717440	94717639	+	15.5	NA	NA	NA	-32669	transcript:Zm00001d004238_T001								
8-143	8	783826	784025	+	15.5	NA	"intron (transcript:Zm00001d008190_T001, intron 1 of 5)"	NA	296	transcript:Zm00001d008190_T001								
1-353	1	217151986	217152185	+	15.5	NA	NA	NA	22139	transcript:Zm00001d032208_T001								
5-219	5	169397396	169397595	+	15.5	NA	NA	NA	139168	transcript:Zm00001d016601_T005								
7-160	7	108319308	108319507	+	15.5	NA	NA	NA	-3098	transcript:Zm00001d020348_T001								
5-913-2	5	14182461	14182658	+	15.2	NA	NA	NA	-6281	transcript:Zm00001d013555_T003								
3-985-2	3	155271011	155271208	+	15.2	NA	promoter-TSS (transcript:Zm00001d042182_T001)	NA	-375	transcript:Zm00001d042182_T001								
7-589-2	7	17225723	17225920	+	15.2	NA	"intron (transcript:Zm00001d019108_T041, intron 1 of 7)"	NA	-21	transcript:Zm00001d019108_T096								
1-1010	1	237431729	237431926	+	15.2	NA	NA	NA	4610	transcript:Zm00001d032753_T001								
2-1056	2	145376833	145377030	+	15.2	NA	TTS (transcript:Zm00001d004861_T006)	NA	4230	transcript:Zm00001d004862_T001								
9-656	9	51392148	51392345	+	15.2	NA	"exon (transcript:Zm00001d045978_T005, exon 2 of 20)"	NA	1878	transcript:Zm00001d045978_T005								
3-865	3	190043299	190043496	+	15.2	NA	promoter-TSS (transcript:Zm00001d043143_T001)	NA	-405	transcript:Zm00001d043143_T001								
1-938-2	1	72923515	72923712	+	15.2	NA	NA	NA	-14013	transcript:Zm00001d029490_T004								
10-533-2	10	137342	137539	+	15.2	NA	NA	NA	6118	transcript:Zm00001d023208_T002								
8-612	8	136462664	136462861	+	15.2	NA	NA	NA	40184	transcript:Zm00001d011004_T001								
8-703-2	8	105907765	105907962	+	15.2	NA	NA	NA	-4933	transcript:Zm00001d010248_T001								
3-899-2	3	4151349	4151546	+	15.2	NA	NA	NA	-1347	transcript:Zm00001d039434_T001								
4-727-2	4	106943201	106943398	+	15.2	NA	NA	NA	-223537	transcript:Zm00001d050633_T005								
9-751-2	9	50271611	50271808	+	15.2	NA	NA	NA	-17986	transcript:Zm00001d045963_T001								
8-761	8	170658849	170659046	+	15.2	NA	NA	NA	19946	transcript:Zm00001d012236_T001								
7-748	7	150445144	150445341	+	15.2	NA	NA	NA	-28244	transcript:Zm00001d021381_T001								
1-1409	1	256549932	256550129	+	15.2	NA	NA	NA	-7610	transcript:Zm00001d033266_T001								
9-608	9	131085881	131086078	+	15.2	NA	"exon (transcript:Zm00001d047469_T001, exon 4 of 4)"	NA	1965	transcript:Zm00001d047469_T001								
1-918-2	1	32281893	32282090	+	15.2	NA	NA	NA	-7831	transcript:Zm00001d028366_T001								
3-1006-2	3	198364861	198365058	+	15.2	NA	"exon (transcript:Zm00001d043384_T001, exon 3 of 5)"	NA	747	transcript:Zm00001d043384_T001								
2-1031-2	2	102798554	102798751	+	15.2	NA	NA	NA	-28074	transcript:Zm00001d004317_T001								
3-884	3	226480301	226480498	+	15.2	NA	"exon (transcript:Zm00001d044379_T004, exon 9 of 10)"	NA	2534	transcript:Zm00001d044379_T011								
9-723	9	2846195	2846392	+	15.2	NA	NA	NA	-13139	transcript:Zm00001d044803_T001								
1-1173	1	201533523	201533720	+	15.2	NA	NA	NA	-1378	transcript:Zm00001d031780_T001								
1-937	1	71559555	71559752	+	15.2	NA	NA	NA	40767	transcript:Zm00001d029455_T001								
1-1023-2	1	259875302	259875499	+	15.2	NA	NA	NA	10103	transcript:Zm00001d033348_T001								
5-656-2	5	68438	68635	+	15.2	NA	"intron (transcript:Zm00001d012798_T001, intron 1 of 2)"	NA	1441	transcript:Zm00001d012798_T001								
2-890	2	90090502	90090699	+	15.2	NA	NA	NA	-7413	transcript:Zm00001d004190_T003								
7-718-2	7	105312089	105312286	+	15.2	NA	NA	NA	-108044	transcript:Zm00001d020309_T002								
5-1039-2	5	216945118	216945315	+	15.2	NA	NA	NA	-4068	transcript:Zm00001d018225_T001								
9-805-2	9	158087040	158087237	+	15.2	NA	NA	NA	-6005	transcript:Zm00001d048537_T001								
7-655-2	7	151790045	151790242	+	15.2	NA	"intron (transcript:Zm00001d021423_T001, intron 2 of 2)"	NA	2790	transcript:Zm00001d021423_T001								
8-597-2	8	120759165	120759362	+	15.2	NA	NA	NA	-5256	transcript:Zm00001d010576_T002								
8-608	8	132243186	132243383	+	15.2	NA	promoter-TSS (transcript:Zm00001d010887_T009)	NA	46	transcript:Zm00001d010887_T009								
2-876	2	63955943	63956140	+	15.2	NA	NA	NA	20251	transcript:Zm00001d003866_T001								
1-1056	1	4350110	4350307	+	15.2	NA	"exon (transcript:Zm00001d027395_T002, exon 10 of 13)"	NA	8352	transcript:Zm00001d027395_T009								
1-1357	1	171834987	171835184	+	15.2	NA	NA	NA	15660	transcript:Zm00001d030982_T006								
6-779	6	125044499	125044696	+	15.2	NA	NA	NA	-4635	transcript:Zm00001d037422_T001								
4-1022-2	4	161506313	161506510	+	15.2	NA	NA	NA	-13743	transcript:Zm00001d051527_T001								
1-1106-2	1	69720803	69721000	+	15.2	NA	NA	NA	13915	transcript:Zm00001d029418_T005								
1-1060	1	5430097	5430294	+	15.2	NA	NA	NA	-1064	transcript:Zm00001d027441_T001								
7-575-2	7	181262580	181262777	+	15.2	NA	NA	NA	23536	transcript:Zm00001d022621_T019								
4-825-2	4	40433659	40433856	+	15.2	NA	NA	NA	-4013	transcript:Zm00001d049690_T001								
1-1328-2	1	109050910	109051107	+	15.2	NA	NA	NA	-2091	transcript:Zm00001d030153_T001								
3-771	3	15047325	15047522	+	15.2	NA	"exon (transcript:Zm00001d039796_T001, exon 1 of 1)"	NA	346	transcript:Zm00001d039796_T001								
5-845-2	5	138585474	138585671	+	15.2	NA	"intron (transcript:Zm00001d016000_T001, intron 9 of 10)"	NA	17576	transcript:Zm00001d016000_T010								
10-614	10	145262881	145263078	+	15.2	NA	NA	NA	2615	transcript:Zm00001d026401_T001								
2-765-2	2	26183252	26183449	+	15.2	NA	TTS (transcript:Zm00001d002901_T001)	NA	-1057	transcript:Zm00001d002900_T002								
4-835-2	4	70683011	70683208	+	15.2	NA	NA	NA	-6621	transcript:Zm00001d050173_T001								
2-947-2	2	215371605	215371802	+	15.2	NA	NA	NA	-1337	transcript:Zm00001d006726_T001								
1-1358-2	1	172697713	172697910	+	15.2	NA	"exon (transcript:Zm00001d030998_T011, exon 2 of 22)"	NA	1680	transcript:Zm00001d030998_T014								
2-831	2	217685639	217685836	+	15.2	NA	"exon (transcript:Zm00001d006839_T001, exon 8 of 11)"	NA	4249	transcript:Zm00001d006839_T002								
10-447-2	10	147157985	147158182	+	15.2	NA	NA	NA	-1109	transcript:Zm00001d026496_T001								
8-561-2	8	178445603	178445800	+	15.2	NA	TTS (transcript:Zm00001d012677_T001)	NA	1123	transcript:Zm00001d012676_T001								
8-420	8	24127978	24128175	+	15.2	NA	"intron (transcript:Zm00001d008890_T002, intron 1 of 7)"	NA	742	transcript:Zm00001d008890_T002								
2-851-2	2	9176526	9176723	+	15.2	NA	"3' UTR (transcript:Zm00001d002267_T003, exon 3 of 3)"	NA	1158	transcript:Zm00001d002267_T003								
1-1214	1	273665590	273665787	+	15.2	NA	promoter-TSS (transcript:Zm00001d033785_T001)	NA	-700	transcript:Zm00001d033785_T001								
9-742-2	9	28082710	28082907	+	15.2	NA	"intron (transcript:Zm00001d045599_T001, intron 1 of 8)"	NA	369	transcript:Zm00001d045599_T002								
2-1080-2	2	180007538	180007735	+	15.2	NA	"intron (transcript:Zm00001d005590_T001, intron 1 of 14)"	NA	-1227	transcript:Zm00001d005590_T002								
8-629-2	8	170825350	170825547	+	15.2	NA	NA	NA	-4693	transcript:Zm00001d012243_T001								
6-752	6	84453123	84453320	+	15.2	NA	NA	NA	25850	transcript:Zm00001d036328_T002								
4-919-2	4	244173861	244174058	+	15.2	NA	TTS (transcript:Zm00001d053953_T001)	NA	1544	transcript:Zm00001d053953_T001								
9-676-2	9	94660011	94660208	+	15.2	NA	"exon (transcript:Zm00001d046537_T001, exon 5 of 6)"	NA	1849	transcript:Zm00001d046537_T001								
8-711-2	8	117299405	117299602	+	15.2	NA	NA	NA	-37084	transcript:Zm00001d010480_T001								
10-465	10	26770580	26770777	+	15.2	NA	NA	NA	-1702	transcript:Zm00001d023896_T001								
7-688-2	7	25998944	25999141	+	15.2	NA	NA	NA	-24874	transcript:Zm00001d019293_T006								
4-1044	4	185647003	185647200	+	15.2	NA	NA	NA	-5033	transcript:Zm00001d052277_T001								
8-628	8	167857704	167857901	+	15.2	NA	"intron (transcript:Zm00001d012086_T005, intron 15 of 19)"	NA	-3397	transcript:Zm00001d012085_T005								
6-682-2	6	133963824	133964021	+	15.2	NA	TTS (transcript:Zm00001d037684_T001)	NA	1144	transcript:Zm00001d037684_T001								
5-928-2	5	36362478	36362675	+	15.2	NA	NA	NA	-52866	transcript:Zm00001d014202_T001								
6-582	6	135180532	135180729	+	15.2	NA	"intron (transcript:Zm00001d037720_T002, intron 2 of 3)"	NA	922	transcript:Zm00001d037720_T002								
8-515-2	8	101493309	101493506	+	15.2	NA	NA	NA	8204	transcript:Zm00001d010149_T005								
4-791-2	4	240210711	240210908	+	15.2	NA	"intron (transcript:Zm00001d053742_T001, intron 4 of 4)"	NA	3001	transcript:Zm00001d053742_T001								
9-708-2	9	148676105	148676302	+	15.2	NA	NA	NA	-2292	transcript:Zm00001d048042_T001								
4-784-2	4	225245051	225245248	+	15.2	NA	"intron (transcript:Zm00001d053306_T001, intron 2 of 2)"	NA	3234	transcript:Zm00001d053306_T001								
9-689-2	9	115245464	115245661	+	15.2	NA	promoter-TSS (transcript:Zm00001d047013_T001)	NA	-833	transcript:Zm00001d047013_T001								
8-609	8	133285521	133285718	+	15.2	NA	NA	NA	-8410	transcript:Zm00001d010913_T001								
10-512	10	123158253	123158450	+	15.2	NA	NA	NA	-45419	transcript:Zm00001d025585_T001								
5-838-2	5	126273493	126273690	+	15.2	NA	"5' UTR (transcript:Zm00001d015851_T012, exon 1 of 6)"	NA	1610	transcript:Zm00001d015851_T012								
9-799	9	154478374	154478571	+	15.2	NA	"exon (transcript:Zm00001d048320_T003, exon 1 of 2)"	NA	1077	transcript:Zm00001d048320_T002								
7-749-2	7	150478828	150479025	+	15.2	NA	NA	NA	5440	transcript:Zm00001d021381_T001								
7-524-2	7	84064552	84064749	+	15.2	NA	NA	NA	6567	transcript:Zm00001d020000_T003								
9-734-2	9	11182014	11182211	+	15.2	NA	"exon (transcript:Zm00001d045052_T001, exon 2 of 2)"	NA	1051	transcript:Zm00001d045052_T001								
7-659-2	7	156213433	156213630	+	15.2	NA	"exon (transcript:Zm00001d021566_T009, exon 2 of 5)"	NA	8005	transcript:Zm00001d021566_T009								
3-711-2	3	119818804	119819001	+	15.2	NA	"intron (transcript:Zm00001d041438_T014, intron 9 of 18)"	NA	-8008	transcript:Zm00001d041438_T016								
10-541	10	19508046	19508243	+	15.2	NA	TTS (transcript:Zm00001d023769_T003)	NA	2090	transcript:Zm00001d023769_T003								
9-700-2	9	133011506	133011703	+	15.2	NA	NA	NA	39070	transcript:Zm00001d047507_T001								
5-782-2	5	12944994	12945191	+	15.2	NA	"intron (transcript:Zm00001d013505_T002, intron 2 of 2)"	NA	831	transcript:Zm00001d013505_T002								
2-893	2	97627693	97627890	+	15.2	NA	NA	NA	17219	transcript:Zm00001d004259_T001								
2-926-2	2	176334802	176334999	+	15.2	NA	"exon (transcript:Zm00001d005501_T004, exon 3 of 5)"	NA	928	transcript:Zm00001d005501_T005								
9-747	9	41621665	41621862	+	15.2	NA	NA	NA	77379	transcript:Zm00001d045823_T001								
5-940-2	5	55261834	55262031	+	15.2	NA	NA	NA	29438	transcript:Zm00001d014610_T001								
6-536-2	6	21138687	21138884	+	15.2	NA	NA	NA	45416	transcript:Zm00001d001309_T001								
9-703	9	140016753	140016950	+	15.2	NA	promoter-TSS (transcript:Zm00001d047726_T001)	NA	-544	transcript:Zm00001d047726_T001								
2-1086-2	2	188121656	188121853	+	15.2	NA	TTS (transcript:Zm00001d005780_T001)	NA	2220	transcript:Zm00001d005780_T001								
3-976	3	143903849	143904046	+	15.2	NA	"intron (transcript:Zm00001d041926_T004, intron 5 of 8)"	NA	1469	transcript:Zm00001d041926_T013								
1-1379-2	1	205047084	205047281	+	15.2	NA	NA	NA	-23662	transcript:Zm00001d031874_T001								
1-1132	1	129228978	129229175	+	15.2	NA	"exon (transcript:Zm00001d030398_T006, exon 16 of 17)"	NA	-9939	transcript:Zm00001d030396_T001								
5-827	5	88204548	88204745	+	15.2	NA	NA	NA	25948	transcript:Zm00001d015396_T002								
6-587-2	6	141668788	141668985	+	15.2	NA	TTS (transcript:Zm00001d037909_T001)	NA	151	transcript:Zm00001d001436_T001								
4-851-2	4	122807044	122807241	+	15.2	NA	NA	NA	3700	transcript:Zm00001d050787_T001								
10-620-2	10	149247282	149247479	+	15.2	NA	promoter-TSS (transcript:Zm00001d026635_T006)	NA	-714	transcript:Zm00001d026635_T006								
1-1167-2	1	192758545	192758742	+	15.2	NA	"intron (transcript:Zm00001d031522_T008, intron 7 of 12)"	NA	11736	transcript:Zm00001d031522_T008								
4-933	4	18439359	18439556	+	15.2	NA	NA	NA	12972	transcript:Zm00001d049159_T001								
1-923-2	1	43359847	43360044	+	15.2	NA	TTS (transcript:Zm00001d028695_T004)	NA	1311	transcript:Zm00001d028696_T002								
6-586-2	6	141471038	141471235	+	15.2	NA	TTS (transcript:Zm00001d037899_T001)	NA	5813	transcript:Zm00001d037899_T001								
1-1323-2	1	101929739	101929936	+	15.2	NA	NA	NA	-30748	transcript:Zm00001d030045_T001								
4-833	4	67730634	67730831	+	15.2	NA	TTS (transcript:Zm00001d050125_T024)	NA	658	transcript:Zm00001d050125_T003								
7-378-2	7	52665616	52665813	+	15.2	NA	NA	NA	-1881	transcript:Zm00001d019706_T003								
10-508-2	10	115986047	115986244	+	15.2	NA	"exon (transcript:Zm00001d025373_T001, exon 1 of 6)"	NA	256	transcript:Zm00001d025373_T001								
9-794	9	138365208	138365405	+	15.2	NA	NA	NA	-6935	transcript:Zm00001d047659_T001								
6-529-2	6	9795755	9795952	+	15.2	NA	NA	NA	-90990	transcript:Zm00001d035203_T001								
1-1425-2	1	287417255	287417452	+	15.2	NA	NA	NA	-3228	transcript:Zm00001d034234_T001								
7-594-2	7	24362999	24363196	+	15.2	NA	promoter-TSS (transcript:Zm00001d019259_T001)	NA	-69	transcript:Zm00001d019259_T001								
7-625-2	7	88581651	88581848	+	15.2	NA	NA	NA	-32089	transcript:Zm00001d020046_T008								
7-631-2	7	97420709	97420906	+	15.2	NA	NA	NA	-121078	transcript:Zm00001d020175_T001								
9-534	9	134152157	134152354	+	15.2	NA	NA	NA	8862	transcript:Zm00001d047536_T058								
5-794-2	5	32579147	32579344	+	15.2	NA	"exon (transcript:Zm00001d014102_T001, exon 3 of 4)"	NA	1733	transcript:Zm00001d014102_T001								
8-727-2	8	139022263	139022460	+	15.2	NA	"3' UTR (transcript:Zm00001d011099_T014, exon 12 of 12)"	NA	-1177	transcript:Zm00001d011100_T002								
3-928	3	47099562	47099759	+	15.2	NA	NA	NA	6459	transcript:Zm00001d040501_T001								
3-929-2	3	47604973	47605170	+	15.2	NA	NA	NA	25158	transcript:Zm00001d040513_T001								
7-675-2	7	181013449	181013646	+	15.2	NA	NA	NA	-6059	transcript:Zm00001d022608_T001								
1-1186-2	1	229904664	229904861	+	15.2	NA	NA	NA	4333	transcript:Zm00001d032538_T001								
4-938-2	4	24202722	24202919	+	15.2	NA	NA	NA	51489	transcript:Zm00001d049276_T007								
4-964-2	4	59336700	59336897	+	15.2	NA	NA	NA	9806	transcript:Zm00001d050012_T001								
5-985-2	5	129513724	129513921	+	15.2	NA	"intron (transcript:Zm00001d015890_T001, intron 8 of 20)"	NA	43750	transcript:Zm00001d015890_T001								
10-460-2	10	15541331	15541528	+	15.2	NA	"intron (transcript:Zm00001d023689_T005, intron 1 of 1)"	NA	1279	transcript:Zm00001d023689_T005								
8-640	8	5669399	5669596	+	15.2	NA	NA	NA	-67045	transcript:Zm00001d008338_T002								
6-667	6	116088253	116088450	+	15.2	NA	NA	NA	3894	transcript:Zm00001d037213_T001								
1-1284-2	1	61224144	61224341	+	15.2	NA	promoter-TSS (transcript:Zm00001d029180_T025)	NA	16	transcript:Zm00001d029180_T025								
5-857	5	155413812	155414009	+	15.2	NA	NA	NA	-3981	transcript:Zm00001d016277_T001								
7-771-2	7	180140641	180140838	+	15.2	NA	promoter-TSS (transcript:Zm00001d022572_T001)	NA	-912	transcript:Zm00001d022572_T001								
2-672-2	2	34612098	34612295	+	15.2	NA	NA	NA	-1088	transcript:Zm00001d003176_T001								
4-999	4	114978983	114979180	+	15.2	NA	NA	NA	88051	transcript:Zm00001d050674_T001								
2-816-2	2	186501991	186502188	+	15.2	NA	NA	NA	-73583	transcript:Zm00001d005756_T003								
4-1013	4	145771679	145771876	+	15.2	NA	NA	NA	6117	transcript:Zm00001d051145_T001								
10-609	10	143267956	143268153	+	15.2	NA	"exon (transcript:Zm00001d026305_T005, exon 8 of 14)"	NA	-3131	transcript:Zm00001d026304_T001								
4-599	4	16383943	16384140	+	15.2	NA	NA	NA	8643	transcript:Zm00001d049109_T001								
3-982-2	3	152237456	152237653	+	15.2	NA	"intron (transcript:Zm00001d042128_T004, intron 7 of 10)"	NA	4555	transcript:Zm00001d042128_T001								
8-762	8	178104207	178104404	+	15.2	NA	NA	NA	7444	transcript:Zm00001d012660_T001								
9-697-2	9	130381721	130381918	+	15.2	NA	NA	NA	-11146	transcript:Zm00001d047447_T002								
9-557-2	9	9424639	9424836	+	15.2	NA	"3' UTR (transcript:Zm00001d044988_T001, exon 3 of 3)"	NA	2232	transcript:Zm00001d044988_T001								
3-798	3	62049352	62049549	+	15.2	NA	NA	NA	45078	transcript:Zm00001d040745_T001								
3-756-2	3	227576846	227577043	+	15.2	NA	NA	NA	4782	transcript:Zm00001d044422_T002								
8-610-2	8	133484524	133484721	+	15.2	NA	"intron (transcript:Zm00001d010920_T004, intron 2 of 2)"	NA	1584	transcript:Zm00001d010920_T003								
7-634-2	7	101192103	101192300	+	15.2	NA	NA	NA	9074	transcript:Zm00001d020229_T001								
4-873-2	4	159481415	159481612	+	15.2	NA	NA	NA	-52260	transcript:Zm00001d051460_T001								
9-631-2	9	5068374	5068571	+	15.2	NA	TTS (transcript:Zm00001d044847_T001)	NA	839	transcript:Zm00001d044848_T001								
1-1310-2	1	86329348	86329545	+	15.2	NA	TTS (transcript:Zm00001d029771_T001)	NA	1883	transcript:Zm00001d029771_T001								
3-832-2	3	130499054	130499251	+	15.2	NA	"intron (transcript:Zm00001d041632_T009, intron 2 of 11)"	NA	691	transcript:Zm00001d041632_T009								
3-699	3	68837042	68837239	+	15.2	NA	NA	NA	6442	transcript:Zm00001d040833_T001								
1-1401-2	1	238207130	238207327	+	15.2	NA	"3' UTR (transcript:Zm00001d032790_T003, exon 13 of 13)"	NA	4585	transcript:Zm00001d032790_T001								
8-637-2	8	1110533	1110730	+	15.2	NA	NA	NA	1929	transcript:Zm00001d008206_T001								
4-729-2	4	112131363	112131560	+	15.2	NA	NA	NA	55957	transcript:Zm00001d050653_T001								
2-774-2	2	50747272	50747469	+	15.2	NA	promoter-TSS (transcript:Zm00001d003622_T001)	NA	64	transcript:Zm00001d003622_T001								
3-941	3	61874861	61875058	+	15.2	NA	NA	NA	219569	transcript:Zm00001d040745_T001								
7-662	7	161510662	161510859	+	15.2	NA	"intron (transcript:Zm00001d021726_T003, intron 5 of 5)"	NA	1153	transcript:Zm00001d021726_T001								
2-986	2	27682993	27683190	+	15.2	NA	NA	NA	-41424	transcript:Zm00001d002942_T001								
6-557-2	6	79952710	79952907	+	15.2	NA	NA	NA	8045	transcript:Zm00001d036251_T001								
3-600-2	3	52075583	52075780	+	15.2	NA	NA	NA	-49747	transcript:Zm00001d040593_T001								
4-1081-2	4	237000122	237000319	+	15.2	NA	"intron (transcript:Zm00001d053622_T001, intron 2 of 3)"	NA	443	transcript:Zm00001d053622_T002								
1-929	1	54582169	54582366	+	15.2	NA	NA	NA	-1334	transcript:Zm00001d029008_T001								
2-1118-2	2	229063858	229064055	+	15.2	NA	NA	NA	9987	transcript:Zm00001d007337_T001								
3-796	3	59636591	59636788	+	15.2	NA	"intron (transcript:Zm00001d040712_T001, intron 11 of 12)"	NA	-2797	transcript:Zm00001d040711_T001								
7-666	7	165344690	165344887	+	15.2	NA	"intron (transcript:Zm00001d021883_T001, intron 1 of 1)"	NA	1590	transcript:Zm00001d021883_T001								
4-1033	4	176413642	176413839	+	15.2	NA	"intron (transcript:Zm00001d052010_T003, intron 2 of 5)"	NA	1125	transcript:Zm00001d052010_T003								
7-764	7	170292389	170292586	+	15.2	NA	NA	NA	-34807	transcript:Zm00001d022099_T001								
3-948	3	69753574	69753771	+	15.2	NA	NA	NA	93060	transcript:Zm00001d040838_T001								
1-928-2	1	53455912	53456109	+	15.2	NA	TTS (transcript:Zm00001d028981_T001)	NA	4074	transcript:Zm00001d028980_T002								
2-865	2	23323571	23323768	+	15.2	NA	NA	NA	-1680	transcript:Zm00001d002810_T001								
6-616-2	6	18854506	18854703	+	15.2	NA	"intron (transcript:Zm00001d035270_T009, intron 3 of 4)"	NA	2863	transcript:Zm00001d035270_T012								
1-1418	1	269020186	269020383	+	15.2	NA	TTS (transcript:Zm00001d033621_T001)	NA	-3396	transcript:Zm00001d033622_T001								
4-705-2	4	33818847	33819044	+	15.2	NA	"intron (transcript:Zm00001d049541_T001, intron 1 of 1)"	NA	1150	transcript:Zm00001d049541_T001								
1-1177	1	211569511	211569708	+	15.2	NA	NA	NA	-1381	transcript:Zm00001d032075_T001								
6-585	6	138481428	138481625	+	15.2	NA	promoter-TSS (transcript:Zm00001d037808_T009)	NA	-885	transcript:Zm00001d037808_T009								
4-776-2	4	221666582	221666779	+	15.2	NA	promoter-TSS (transcript:Zm00001d053242_T001)	NA	-539	transcript:Zm00001d053242_T001								
1-1356	1	168114197	168114394	+	15.2	NA	NA	NA	25101	transcript:Zm00001d030935_T029								
3-1015	3	209230905	209231102	+	15.2	NA	"exon (transcript:Zm00001d043762_T001, exon 8 of 13)"	NA	4342	transcript:Zm00001d043762_T001								
5-422	5	207091828	207092025	+	15.2	NA	"intron (transcript:Zm00001d017798_T034, intron 3 of 3)"	NA	-632	transcript:Zm00001d017798_T040								
5-1033-2	5	210452816	210453013	+	15.2	NA	NA	NA	2209	transcript:Zm00001d017940_T001								
3-754-2	3	221814158	221814355	+	15.2	NA	TTS (transcript:Zm00001d044204_T001)	NA	-3069	transcript:Zm00001d044203_T001								
8-586	8	96478707	96478904	+	15.2	NA	"intron (transcript:Zm00001d010037_T001, intron 3 of 3)"	NA	2332	transcript:Zm00001d010037_T001								
8-700	8	104423512	104423709	+	15.2	NA	promoter-TSS (transcript:Zm00001d010214_T001)	NA	200	transcript:Zm00001d010214_T003								
4-1039-2	4	182351465	182351662	+	15.2	NA	NA	NA	204354	transcript:Zm00001d052183_T001								
5-922-2	5	23987900	23988097	+	15.2	NA	"intron (transcript:Zm00001d013890_T007, intron 16 of 19)"	NA	2674	transcript:Zm00001d013890_T025								
6-808-2	6	159383409	159383606	+	15.2	NA	"intron (transcript:Zm00001d038533_T004, intron 7 of 11)"	NA	543	transcript:Zm00001d038533_T002								
2-1066	2	163304794	163304991	+	15.2	NA	"exon (transcript:Zm00001d005200_T001, exon 3 of 5)"	NA	1261	transcript:Zm00001d005200_T002								
5-936-2	5	46505532	46505729	+	15.2	NA	TTS (transcript:Zm00001d014428_T001)	NA	3147	transcript:Zm00001d014428_T001								
2-998	2	49520799	49520996	+	15.2	NA	NA	NA	-2340	transcript:Zm00001d003602_T003								
3-753-2	3	220964643	220964840	+	15.2	NA	TTS (transcript:Zm00001d044168_T001)	NA	1333	transcript:Zm00001d044168_T001								
4-894	4	190300766	190300963	+	15.2	NA	TTS (transcript:Zm00001d052450_T001)	NA	-1551	transcript:Zm00001d052449_T001								
9-613-2	9	141368447	141368644	+	15.2	NA	"exon (transcript:Zm00001d047769_T001, exon 8 of 8)"	NA	-2547	transcript:Zm00001d047770_T002								
9-620-2	9	148368957	148369154	+	15.2	NA	"3' UTR (transcript:Zm00001d048029_T001, exon 4 of 4)"	NA	3519	transcript:Zm00001d048029_T002								
1-1213	1	272241094	272241291	+	15.2	NA	NA	NA	-21771	transcript:Zm00001d033722_T001								
4-953	4	45061504	45061701	+	15.2	NA	NA	NA	-12673	transcript:Zm00001d049800_T001								
10-458	10	6092762	6092959	+	15.2	NA	NA	NA	-1442	transcript:Zm00001d023455_T001								
1-1237-2	1	301481000	301481197	+	15.2	NA	NA	NA	-1548	transcript:Zm00001d034756_T001								
3-765-2	3	5116178	5116375	+	15.2	NA	NA	NA	3190	transcript:Zm00001d039468_T001								
2-869	2	45033233	45033430	+	15.2	NA	"3' UTR (transcript:Zm00001d003460_T004, exon 9 of 9)"	NA	-2831	transcript:Zm00001d003462_T001								
5-792-2	5	25071567	25071764	+	15.2	NA	NA	NA	-27969	transcript:Zm00001d013929_T001								
5-800-2	5	44987564	44987761	+	15.2	NA	NA	NA	-7297	transcript:Zm00001d014409_T001								
4-779	4	223393219	223393416	+	15.2	NA	NA	NA	9092	transcript:Zm00001d053271_T001								
5-1007	5	164884777	164884974	+	15.2	NA	NA	NA	-83169	transcript:Zm00001d016496_T004								
2-1044-2	2	121842987	121843184	+	15.2	NA	NA	NA	6517	transcript:Zm00001d004614_T001								
6-674	6	126190446	126190643	+	15.2	NA	NA	NA	-38586	transcript:Zm00001d037465_T021								
3-810-2	3	92530324	92530521	+	15.2	NA	NA	NA	-51415	transcript:Zm00001d041041_T001								
5-829-2	5	90054057	90054254	+	15.2	NA	"intron (transcript:Zm00001d015435_T022, intron 16 of 16)"	NA	16275	transcript:Zm00001d015435_T008								
